draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00583,2021-05-25,6,10,33,35,36,43,163,6,43,37,3,3,2,4,4,23,2,1,7,1,23,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00584,2021-05-27,3,7,18,22,40,46,136,3,46,43,2,4,4,2,4,11,4,18,6,0,18,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00585,2021-05-29,2,11,31,37,43,55,179,2,55,53,5,1,2,4,9,20,6,6,12,0,20,6,ds_cbdf3834368e,ds_16b6be697acb,01190,
00586,2021-06-01,6,12,14,27,43,45,147,6,45,39,3,3,4,2,6,2,13,16,2,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00587,2021-06-03,4,8,21,24,26,47,130,4,47,43,2,4,5,1,4,13,3,2,21,0,21,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00588,2021-06-05,14,22,25,39,41,52,193,14,52,38,3,3,3,3,8,3,14,2,11,0,14,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00589,2021-06-08,16,28,33,41,42,54,214,16,54,38,2,4,1,5,12,5,8,1,12,1,12,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00590,2021-06-10,11,22,24,27,43,54,181,11,54,43,3,3,4,2,11,2,3,16,11,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00591,2021-06-12,4,16,17,20,27,44,128,4,44,40,2,4,5,1,12,1,3,7,17,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00592,2021-06-15,11,18,21,22,30,55,157,11,55,44,3,3,4,2,7,3,1,8,25,1,25,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00593,2021-06-17,18,23,38,41,44,55,219,18,55,37,3,3,2,4,5,15,3,3,11,0,15,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00594,2021-06-19,1,3,7,13,28,45,97,1,45,44,5,1,4,2,2,4,6,15,17,0,17,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00595,2021-06-22,3,9,32,33,41,43,161,3,43,40,5,1,2,4,6,23,1,8,2,1,23,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00596,2021-06-24,3,16,17,24,41,44,145,3,44,41,3,3,4,2,13,1,7,17,3,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00597,2021-06-26,6,16,17,20,49,52,160,6,52,46,2,4,4,2,10,1,3,29,3,1,29,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00598,2021-06-29,5,14,24,36,44,55,178,5,55,50,2,4,3,3,9,10,12,8,11,0,12,8,ds_cbdf3834368e,ds_16b6be697acb,01190,
00599,2021-07-01,4,15,28,30,49,52,178,4,52,48,2,4,2,4,11,13,2,19,3,0,19,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00600,2021-07-03,4,25,30,38,50,55,202,4,55,51,2,4,2,4,21,5,8,12,5,0,21,5,ds_cbdf3834368e,ds_16b6be697acb,01190,
00601,2021-07-06,17,20,22,24,30,54,167,17,54,37,1,5,4,2,3,2,2,6,24,0,24,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00602,2021-07-08,3,32,34,42,44,54,209,3,54,51,1,5,1,5,29,2,8,2,10,0,29,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00603,2021-07-10,7,8,17,37,47,48,164,7,48,41,4,2,3,3,1,9,20,10,1,2,20,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00604,2021-07-13,5,11,18,27,34,43,138,5,43,38,4,2,4,2,6,7,9,7,9,0,9,6,ds_cbdf3834368e,ds_16b6be697acb,01190,
00605,2021-07-15,3,4,12,16,30,50,115,3,50,47,1,5,4,2,1,8,4,14,20,1,20,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
